ok   | B1 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "I submitted my Waterloo AIF. I haven't started the Western essay yet."
FLAG | M4 question            | safe=reject                 | actual=ACCEPT                                               | "Is the Waterloo AIF due Feb 15, 2027?"
FLAG | M4 downgrade           | safe=reject(verified kept)  | actual=ACCEPT                                               | "The Waterloo AIF is due Feb 1, 2027 right"
FLAG | M4 cross-item date     | safe=reject                 | actual=ACCEPT                                               | "Western essay due Feb 15, 2027 and the Waterloo AIF is on the site"
FLAG | M4 hearsay             | safe=reject                 | actual=ACCEPT                                               | "My friend thinks the Waterloo AIF might be due Feb 3, 2027"
ok   | N3                     | safe=reject                 | actual=reject(university_application_model_date_invalid)    | "Western essay due 02/03/2027"
ok   | N3                     | safe=reject                 | actual=reject(university_application_model_date_invalid)    | "Western essay due 02/03/2027"
ok   | N3 legit               | safe=ACCEPT                 | actual=ACCEPT                                               | "Western essay due 13/02/2027"
ok   | L1                     | safe=reject                 | actual=reject(university_application_model_date_invalid)    | "Western essay due Feb 1, 2027; I have 15 essays to plan"
ok   | L1                     | safe=reject                 | actual=reject(university_application_model_date_invalid)    | "the Western essay may be due in 2027, maybe the 3rd week"
ok   | L1 legit               | safe=ACCEPT                 | actual=ACCEPT                                               | "Western essay due February 1st, 2027"
FLAG | L1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_date_invalid)    | "Western essay due Feb. 1, 2027"
ok   | L1 legit               | safe=ACCEPT                 | actual=ACCEPT                                               | "Western essay due 1 February 2027"
ok   | L1 legit               | safe=reject(no year)        | actual=reject(university_application_model_date_invalid)    | "Western essay due February 1"
FLAG | verified cycle=year    | safe=reject(no cycle stated) | actual=ACCEPT                                               | "Western essay due Feb 1, 2027 per https://uwo.ca/x"
FLAG | label meta             | safe=reject                 | actual=ACCEPT                                               | "Add Waterloo AIF February 1st for Waterloo"
FLAG | label meta             | safe=reject                 | actual=ACCEPT                                               | "Add Waterloo AIF 1 Feb for Waterloo"
FLAG | label meta             | safe=reject                 | actual=ACCEPT                                               | "Add Waterloo AIF 2027-02-01 for Waterloo"
FLAG | label meta             | safe=reject                 | actual=ACCEPT                                               | "Add the Waterloo AIF official"
ok   | label legit            | safe=ACCEPT                 | actual=ACCEPT                                               | "Add the Waterloo video interview"
FLAG | label legit            | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "Add the May 5 info session essay for Western"
FLAG | new multiline          | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "Waterloo needs:\n- AIF\n- video interview"

46 mismatches of 68
